Candidate gene model,chromosomes,marker,start,stop,gene description,interpro GO
Cotton_A_06041,locus=CA_chr12,S1_634724595 & S1_634724647,93989567,93990239," SANT domain, DNA binding",transcription
Cotton_A_26027,locus=CA_chr12,S1_662779880,122113035,122113484, Transcriptional factor B3,transcription
Cotton_A_26028,locus=CA_chr12,S1_662779880,122089299,122090189, Transcriptional factor B3,transcription
Cotton_A_26029,locus=CA_chr12,S1_662779880,122077382,122077657, Transcriptional factor B3,transcription
Cotton_A_26031,locus=CA_chr12,S1_662779880,122070400,122070732, Transcriptional factor B3,transcription
Cotton_A_26035,locus=CA_chr12,S1_662779880,122005807,122006382, Transcriptional factor B3,transcription
Cotton_A_26043,locus=CA_chr12,S1_662779880,121927766,121928593, Transcriptional factor B3,transcription
Cotton_A_26046,locus=CA_chr12,S1_662779880,121898404,121899237, Transcriptional factor B3,transcription
Cotton_A_26048,locus=CA_chr12,S1_662779880,121886534,121886794, Transcriptional factor B3,transcription
Cotton_A_06028,locus=CA_chr12,S1_634724595 & S1_634724647,93793708,93795455, Ribosomal protein L10e/L16,translation
Cotton_A_18650,locus=CA_chr12,S1_662779880,121683545,121683985, Ribosomal protein L18e/L15,translation
Cotton_A_18632,locus=CA_chr12,S1_662779880,121837562,121845726," ABC transporter, transmembrane domain",transport
Cotton_A_06026,locus=CA_chr12,S1_634724595 & S1_634724647,93778177,93782378, ABC-1,transport
Cotton_A_06022,locus=CA_chr12,S1_634724595 & S1_634724647,93721231,93725869, K+ potassium transporter,transport
Cotton_A_06010,locus=CA_chr12,S1_634724595 & S1_634724647,93560207,93561922, Xanthine/uracil/vitamin C permease,transport
Cotton_A_00279,locus=CA_chr2,S1_303538481,70476457,70479200, Nucleotidyl transferase,biosynthetic process
Cotton_A_00275,locus=CA_chr2,S1_303538481,70499355,70503231, Poly(ADP-ribose) glycohydrolase,carbohydrate metabolic process
Cotton_A_00319,locus=CA_chr2,S1_303538481,70192566,70195231," Heat shock protein DnaJ, N-terminal",HSP
Cotton_A_00286,locus=CA_chr2,S1_303538481,70430391,70431426, Short-chain dehydrogenase/reductase SDR,metabolic process
Cotton_A_00287,locus=CA_chr2,S1_303538481,70415541,70422611, Actin-binding WH2,NA
Cotton_A_00277,locus=CA_chr2,S1_303538481,70489470,70491941, Ankyrin repeat,NA
Cotton_A_00302,locus=CA_chr2,S1_303538481,70346459,70349571, BTB/POZ fold,NA
Cotton_A_00290,locus=CA_chr2,S1_303538481,70406654,70408122," Cellular retinaldehyde-binding/triple function, C-terminal",NA
Cotton_A_00312,locus=CA_chr2,S1_303538481,70252750,70253763, Chlorophyll A-B binding protein,NA
Cotton_A_00295,locus=CA_chr2,S1_303538481,70376896,70379299," Domain of unknown function DUF231, plant",NA
Cotton_A_00309,locus=CA_chr2,S1_303538481,70269570,70276413, Double-stranded RNA-binding,NA
Cotton_A_00278,locus=CA_chr2,S1_303538481,70479832,70484135, Elongator protein 3/MiaB/NifB,NA
Cotton_A_00293,locus=CA_chr2,S1_303538481,70396065,70397091, FAM175 family,NA
Cotton_A_00313,locus=CA_chr2,S1_303538481,70247789,70249552," High mobility group, HMG1/HMG2",NA
Cotton_A_00303,locus=CA_chr2,S1_303538481,70331287,70333124, Homeodomain-like,NA
Cotton_A_00273,locus=CA_chr2,S1_303538481,70535788,70537477," Late embryogenesis abundant protein, group 2",NA
Cotton_A_00291,locus=CA_chr2,S1_303538481,70400738,70402080, Macrophage migration inhibitory factor,NA
Cotton_A_00272,locus=CA_chr2,S1_303538481,70540233,70542909, Metallo-dependent phosphatase,NA
Cotton_A_39788,locus=CA_chr2,S1_303538481,70614985,70618169, Metallo-dependent phosphatase,NA
Cotton_A_00282,locus=CA_chr2,S1_303538481,70451443,70452774, Pentatricopeptide repeat,NA
Cotton_A_00307,locus=CA_chr2,S1_303538481,70307814,70308747, Phosphatidylethanolamine-binding protein PEBP,NA
Cotton_A_00296,locus=CA_chr2,S1_303538481,70371479,70372024, Polyketide cyclase/dehydrase,NA
Cotton_A_00292,locus=CA_chr2,S1_303538481,70398308,70398955, Prenylated rab acceptor PRA1,NA
Cotton_A_00281,locus=CA_chr2,S1_303538481,70459178,70460283, Protein of unknown function DUF1685,NA
Cotton_A_00318,locus=CA_chr2,S1_303538481,70198271,70207710, Protein of unknown function DUF3453,NA
Cotton_A_00297,locus=CA_chr2,S1_303538481,70363554,70365155, Protein of unknown function DUF538,NA
Cotton_A_00301,locus=CA_chr2,S1_303538481,70350308,70351078, Protein of unknown function DUF688,NA
Cotton_A_00276,locus=CA_chr2,S1_303538481,70493947,70498300, RNA recognition motif domain,NA
Cotton_A_00298,locus=CA_chr2,S1_303538481,70359880,70361551, RNA-binding S4,NA
Cotton_A_00306,locus=CA_chr2,S1_303538481,70309884,70317260, Ubiquitin,NA
Cotton_A_00289,locus=CA_chr2,S1_303538481,70409627,70410691," Uncharacterised protein family UPF0497, trans-membrane plant",NA
Cotton_A_00317,locus=CA_chr2,S1_303538481,70216414,70217346, Vitamin B6 biosynthesis protein,NA
Cotton_A_39787,locus=CA_chr2,S1_303538481,70613133,70613698," Zinc finger, A20-type",NA
Cotton_A_00316,locus=CA_chr2,S1_303538481,70219130,70222297," Zinc finger, RING-type",NA
Cotton_A_00288,locus=CA_chr2,S1_303538481,70411258,70413897," Leucine-rich repeat, cysteine-containing subtype",protein protein interaction
Cotton_A_00274,locus=CA_chr2,S1_303538481,70528304,70532954, Rab GDI protein,protein transport
Cotton_A_00311,locus=CA_chr2,S1_303538481,70255917,70257095," Peptidase S26A, signal peptidase I",proteolysis
Cotton_A_00320,locus=CA_chr2,S1_303538481,70186352,70188000, Isopenicillin N synthase,redox 
Cotton_A_00304,locus=CA_chr2,S1_303538481,70329941,70330707, Basic-leucine zipper (bZIP) transcription factor,transcription
Cotton_A_00305,locus=CA_chr2,S1_303538481,70318294,70321335, Ammonium transporter,transport
Cotton_A_00314,locus=CA_chr2,S1_303538481,70243232,70246757, Mitochondrial carrier protein,transport
Cotton_A_00294,locus=CA_chr2,S1_303538481,70391575,70394399, Multi antimicrobial extrusion protein,transport
Cotton_A_00315,locus=CA_chr2,S1_303538481,70236911,70240785, Sodium/calcium exchanger membrane region,transport
Cotton_A_00280,locus=CA_chr2,S1_303538481,70463427,70475953," Aminoacyl-tRNA synthetase, class Ia",tRNA aminoacylation for protein translation
Cotton_A_00283,locus=CA_chr2,S1_303538481,70447589,70448062," Wound-induced protein, Wun1",wound
Cotton_A_03296,locus=CA_chr3,S1_1238998071,28067899,28069751," Glycoside hydrolase, family 17",carbohydrate metabolic process 
Cotton_A_03290,locus=CA_chr3,S1_1238998071,27985353,27986944," Glycosyl-phosphatidyl inositol-anchored, plant",cell growth
Cotton_A_03297,locus=CA_chr3,S1_1238998071,28070112,28071608," Lipase, GDSL",lipid metabolism
Cotton_A_03283,locus=CA_chr3,S1_1238998071,27858316,27861682, Aminotransferase class-III,NA
Cotton_A_03280,locus=CA_chr3,S1_1238998071,27842055,27843740," ATPase, AAA+ type, core",NA
Cotton_A_03270,locus=CA_chr3,S1_1238998071,27686495,27687292, FAS1 domain,NA
Cotton_A_03291,locus=CA_chr3,S1_1238998071,27989081,27990382," F-box domain, cyclin-like",NA
Cotton_A_03269,locus=CA_chr3,S1_1238998071,27619342,27622342, Mo25-like,NA
Cotton_A_03286,locus=CA_chr3,S1_1238998071,27892041,27897622, Pleckstrin homology domain,NA
Cotton_A_03273,locus=CA_chr3,S1_1238998071,27758658,27758837, Protein of unknown function DUF581,NA
Cotton_A_03274,locus=CA_chr3,S1_1238998071,27765453,27766155, Uncharacterised protein family UPF0041,NA
Cotton_A_03293,locus=CA_chr3,S1_1238998071,28012858,28014315," 6-phosphogluconate dehydrogenase, C-terminal",redox 
Cotton_A_03279,locus=CA_chr3,S1_1238998071,27838100,27841444, Coproporphyrinogen III oxidase,redox 
Cotton_A_03276,locus=CA_chr3,S1_1238998071,27810580,27811784, Oxoglutarate/iron-dependent oxygenase,redox 
Cotton_A_03292,locus=CA_chr3,S1_1238998071,28007349,28007855, Basic-leucine zipper (bZIP) transcription factor,transcription
Cotton_A_03298,locus=CA_chr3,S1_1238998071,28101528,28102557, Helix-loop-helix DNA-binding domain,transcription
Cotton_A_03295,locus=CA_chr3,S1_1238998071,28034608,28036036," SANT domain, DNA binding",transcription
Cotton_A_03284,locus=CA_chr3,S1_1238998071,27885606,27886937, Transcription factor GRAS,transcription
Cotton_A_03281,locus=CA_chr3,S1_1238998071,27851546,27852631, Ribosomal protein L13e,translation
Cotton_A_03285,locus=CA_chr3,S1_1238998071,27888193,27888600, Ribosomal protein L27e,translation
Cotton_A_03278,locus=CA_chr3,S1_1238998071,27834812,27836198, Ribosomal protein S27e,translation
Cotton_A_03272,locus=CA_chr3,S1_1238998071,27739858,27740286, Translation initiation factor 1A (eIF-1A),translation
Cotton_A_03289,locus=CA_chr3,S1_1238998071,27939472,27942568, Mitochondrial carrier protein,transport
Cotton_A_03282,locus=CA_chr3,S1_1238998071,27854985,27855887, Zinc/iron permease,transport
Cotton_A_18001,locus=CA_chr5,S1_352262064,18444271,18444997," Glycoside hydrolase, family 5",carbohydrate metabolic process 
Cotton_A_17997,locus=CA_chr5,S1_352262064,18372815,18378127," Glycosyl transferase, family 48",carbohydrate metabolic process 
Cotton_A_17993,locus=CA_chr5,S1_352262064,18294183,18297880, DTW,NA
Cotton_A_17986,locus=CA_chr5,S1_352262064,18126832,18127554," Late embryogenesis abundant protein, group 2",NA
Cotton_A_17980,locus=CA_chr5,S1_352262064,17903464,17904712," O-methyltransferase, family 2",NA
Cotton_A_17981,locus=CA_chr5,S1_352262064,17948562,17952505," O-methyltransferase, family 2",NA
Cotton_A_17984,locus=CA_chr5,S1_352262064,18081510,18085230," O-methyltransferase, family 2",NA
Cotton_A_17985,locus=CA_chr5,S1_352262064,18105103,18108485," O-methyltransferase, family 2",NA
Cotton_A_17982,locus=CA_chr5,S1_352262064,18019367,18019606, Plant methyltransferase dimerisation,NA
Cotton_A_17996,locus=CA_chr5,S1_352262064,18350004,18353161, Protein of unknown function DUF1421,NA
Cotton_A_17999,locus=CA_chr5,S1_352262064,18398454,18402522," Ubiquitin-conjugating enzyme, E2",NA
Cotton_A_17983,locus=CA_chr5,S1_352262064,18029513,18029788," Zinc finger, CCHC-type",NA
Cotton_A_17992,locus=CA_chr5,S1_352262064,18267027,18267812," Zinc finger, RING-type",NA
Cotton_A_17988,locus=CA_chr5,S1_352262064,18149467,18152568," RNA-processing protein, HAT helix",RNA processing
Cotton_A_17991,locus=CA_chr5,S1_352262064,18180985,18182052, Major pollen allergen Lol pI,sexual reproduction
Cotton_A_17987,locus=CA_chr5,S1_352262064,18144674,18145891," Pathogenesis-related transcriptional factor/ERF, DNA-binding",transcription
Cotton_A_17990,locus=CA_chr5,S1_352262064,18166133,18167364, Clathrin light chain,transport
Cotton_A_17998,locus=CA_chr5,S1_352262064,18383758,18397380, Ion transport,transport
Cotton_A_17989,locus=CA_chr5,S1_352262064,18163082,18165210, Sugar/inositol transporter,transport
Cotton_A_17745,locus=CA_chr6,S1_1431996298 & S1_1432469614,21596413,21599069," Mur ligase, C-terminal",biosynthetic process
Cotton_A_17753,locus=CA_chr6,S1_1431996298 & S1_1432469614,21520518,21524754," Glycoside hydrolase, family 1",carbohydrate metabolic process 
Cotton_A_17754,locus=CA_chr6,S1_1431996298 & S1_1432469614,21514005,21517579," Glycoside hydrolase, family 1",carbohydrate metabolic process 
Cotton_A_17756,locus=CA_chr6,S1_1431996298 & S1_1432469614,21496572,21499388," Glycoside hydrolase, family 1",carbohydrate metabolic process 
Cotton_A_17761,locus=CA_chr6,S1_1431996298 & S1_1432469614,21441589,21442461," Glycoside hydrolase, family 18, catalytic domain",carbohydrate metabolic process 
Cotton_A_17762,locus=CA_chr6,S1_1431996298 & S1_1432469614,21438922,21439818," Glycoside hydrolase, family 18, catalytic domain",carbohydrate metabolic process 
Cotton_A_17764,locus=CA_chr6,S1_1431996298 & S1_1432469614,21420162,21429347, Timeless protein,circadian clock
Cotton_A_17730,locus=CA_chr6,S1_1431996298 & S1_1432469614,21784351,21787900, CS-like domain,defense response
Cotton_A_17777,locus=CA_chr6,S1_1431996298 & S1_1432469614,21326741,21328098, ETC complex I subunit,electron transport chain
Cotton_A_17763,locus=CA_chr6,S1_1431996298 & S1_1432469614,21430635,21436507, Pyruvate kinase,glycolytic process
Cotton_A_17780,locus=CA_chr6,S1_1431996298 & S1_1432469614,21300108,21304872," Heat shock protein DnaJ, N-terminal",HSP
Cotton_A_17729,locus=CA_chr6,S1_1431996298 & S1_1432469614,21789796,21791567," Lipase, class 3",lipid metabolism
Cotton_A_17773,locus=CA_chr6,S1_1431996298 & S1_1432469614,21340838,21342232, UDP-glucuronosyl/UDP-glucosyltransferase,metabolic process
Cotton_A_17774,locus=CA_chr6,S1_1431996298 & S1_1432469614,21336445,21337761, UDP-glucuronosyl/UDP-glucosyltransferase,metabolic process
Cotton_A_20196,locus=CA_chr6,S1_1431996298 & S1_1432469614,22045865,22046870, Heavy metal transport/detoxification protein,metal ion transport
Cotton_A_17768,locus=CA_chr6,S1_1431996298 & S1_1432469614,21373786,21379878," ATPase, AAA+ type, core",NA
Cotton_A_23055,locus=CA_chr6,S1_1431996298 & S1_1432469614,21089582,21092786," ATP-grasp fold, succinyl-CoA synthetase-type",NA
Cotton_A_17731,locus=CA_chr6,S1_1431996298 & S1_1432469614,21768378,21770824, CCT domain,NA
Cotton_A_17782,locus=CA_chr6,S1_1431996298 & S1_1432469614,21293119,21297734," DNA primase, UL52/UL70 type, Herpesviridae",NA
Cotton_A_17769,locus=CA_chr6,S1_1431996298 & S1_1432469614,21368032,21370174," F-box domain, cyclin-like",NA
Cotton_A_17734,locus=CA_chr6,S1_1431996298 & S1_1432469614,21717233,21728118," Glutamine amidotransferase, class-II",NA
Cotton_A_17772,locus=CA_chr6,S1_1431996298 & S1_1432469614,21345875,21346342," Late embryogenesis abundant protein, group 2",NA
Cotton_A_17752,locus=CA_chr6,S1_1431996298 & S1_1432469614,21525046,21526782, Myosin tail 2,NA
Cotton_A_17781,locus=CA_chr6,S1_1431996298 & S1_1432469614,21298431,21299420, Ornithine cyclodeaminase/mu-crystallin,NA
Cotton_A_17759,locus=CA_chr6,S1_1431996298 & S1_1432469614,21452052,21453194, Pectate lyase/Amb allergen,NA
Cotton_A_17760,locus=CA_chr6,S1_1431996298 & S1_1432469614,21448573,21449715, Pectate lyase/Amb allergen,NA
Cotton_A_17735,locus=CA_chr6,S1_1431996298 & S1_1432469614,21713167,21715746, Pentatricopeptide repeat,NA
Cotton_A_17776,locus=CA_chr6,S1_1431996298 & S1_1432469614,21328715,21331360, Pentatricopeptide repeat,NA
Cotton_A_17740,locus=CA_chr6,S1_1431996298 & S1_1432469614,21651455,21653705, Polyketide cyclase/dehydrase,NA
Cotton_A_17732,locus=CA_chr6,S1_1431996298 & S1_1432469614,21751161,21758868, PWWP,NA
Cotton_A_17770,locus=CA_chr6,S1_1431996298 & S1_1432469614,21364551,21366534, Reticulon,NA
Cotton_A_17741,locus=CA_chr6,S1_1431996298 & S1_1432469614,21645048,21650760, RNA recognition motif domain,NA
Cotton_A_17775,locus=CA_chr6,S1_1431996298 & S1_1432469614,21332673,21335383, Tetratricopeptide TPR-1,NA
Cotton_A_17751,locus=CA_chr6,S1_1431996298 & S1_1432469614,21529939,21532716," Ubiquitin-conjugating enzyme, E2",NA
Cotton_A_17765,locus=CA_chr6,S1_1431996298 & S1_1432469614,21410683,21418921, WD40 repeat,NA
Cotton_A_23051,locus=CA_chr6,S1_1431996298 & S1_1432469614,21007557,21009190," Zinc finger, RING-type",NA
Cotton_A_20195,locus=CA_chr6,S1_1431996298 & S1_1432469614,22011185,22011967," Ribose 5-phosphate isomerase, type A","pentose-phosphate shunt, non-oxidative branch"
Cotton_A_17737,locus=CA_chr6,S1_1431996298 & S1_1432469614,21692042,21695214, Spermine synthase,polyamine metabolic process 
Cotton_A_17733,locus=CA_chr6,S1_1431996298 & S1_1432469614,21745111,21749291," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_17755,locus=CA_chr6,S1_1431996298 & S1_1432469614,21508677,21510675," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_17757,locus=CA_chr6,S1_1431996298 & S1_1432469614,21491243,21493241," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_17766,locus=CA_chr6,S1_1431996298 & S1_1432469614,21406318,21409216," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_23056,locus=CA_chr6,S1_1431996298 & S1_1432469614,21248890,21251650," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_23058,locus=CA_chr6,S1_1431996298 & S1_1432469614,21260539,21263298," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_17736,locus=CA_chr6,S1_1431996298 & S1_1432469614,21709063,21712179, Protein phosphatase 2C-like,signal transduction
Cotton_A_17738,locus=CA_chr6,S1_1431996298 & S1_1432469614,21685951,21689078, Protein phosphatase 2C-like,signal transduction
Cotton_A_20194,locus=CA_chr6,S1_1431996298 & S1_1432469614,22002302,22003289," Signal recognition particle, SRP9/SRP14 subunit",signal transduction
Cotton_A_17743,locus=CA_chr6,S1_1431996298 & S1_1432469614,21624537,21625565, DNA-binding WRKY,transcription
Cotton_A_17778,locus=CA_chr6,S1_1431996298 & S1_1432469614,21317963,21319359, DNA-binding WRKY,transcription
Cotton_A_17749,locus=CA_chr6,S1_1431996298 & S1_1432469614,21555288,21557675," DNA-directed RNA polymerase, subunit 2, domain 6",transcription
Cotton_A_17744,locus=CA_chr6,S1_1431996298 & S1_1432469614,21610174,21611712, Helix-loop-helix DNA-binding domain,transcription
Cotton_A_17750,locus=CA_chr6,S1_1431996298 & S1_1432469614,21548167,21549255," Pathogenesis-related transcriptional factor/ERF, DNA-binding",transcription
Cotton_A_17742,locus=CA_chr6,S1_1431996298 & S1_1432469614,21632025,21634616, RNA polymerase sigma-70 factor,transcription
Cotton_A_23054,locus=CA_chr6,S1_1431996298 & S1_1432469614,21048878,21050625," RNA polymerase, subunit N/RPB10",transcription
Cotton_A_20189,locus=CA_chr6,S1_1431996298 & S1_1432469614,21909544,21911027," Transcription factor, SBP-box",transcription
Cotton_A_17758,locus=CA_chr6,S1_1431996298 & S1_1432469614,21460558,21465484," ABC transporter, transmembrane domain",transport
Cotton_A_17747,locus=CA_chr6,S1_1431996298 & S1_1432469614,21587912,21591629, Mitochondrial substrate/solute carrier,transport
Cotton_A_20190,locus=CA_chr6,S1_1431996298 & S1_1432469614,21922973,21924426," Transposase, Ptta/En/Spm, plant",transposon
Cotton_A_17739,locus=CA_chr6,S1_1431996298 & S1_1432469614,21666650,21668272, Trehalose-phosphatase,trehalose biosynthetic process 
Cotton_A_29422,locus=CA_chr7,S1_917690183,93025272,93027612," Glycosyl transferase, group 1",carbohydrate metabolic process 
Cotton_A_35153,locus=CA_chr7,S1_917690183,93172825,93177315, Pyruvate/Phosphoenolpyruvate kinase,glycolytic process
Cotton_A_29425,locus=CA_chr7,S1_917690183,93055070,93055917," mRNA splicing factor, thioredoxin-like U5 snRNP",mRNA splicing
Cotton_A_29420,locus=CA_chr7,S1_917690183,93000332,93003458, YABBY protein,multicellular organismal development 
Cotton_A_29428,locus=CA_chr7,S1_917690183,93073884,93075852," APO protein, plant",NA
Cotton_A_14231,locus=CA_chr7,S1_842793792 & S1_842793872 & S1_842793960,18033097,18040726, Armadillo,NA
Cotton_A_29430,locus=CA_chr7,S1_917690183,93090991,93093946, Bisphosphoglycerate-independent phosphoglycerate mutase,NA
Cotton_A_14247,locus=CA_chr7,S1_842793792 & S1_842793872 & S1_842793960,18267593,18268975," Domain of unknown function DUF641, plant",NA
Cotton_A_29431,locus=CA_chr7,S1_917690183,93096370,93096783, Sulfotransferase domain,NA
Cotton_A_29424,locus=CA_chr7,S1_917690183,93044904,93052846, Tetratricopeptide TPR-1,NA
Cotton_A_35156,locus=CA_chr7,S1_917690183,93217963,93221270, Tetratricopeptide TPR-1,NA
Cotton_A_29419,locus=CA_chr7,S1_917690183,92995264,92998667," Tubby, C-terminal",NA
Cotton_A_35155,locus=CA_chr7,S1_917690183,93209169,93212926," Ubiquitin-conjugating enzyme, E2",NA
Cotton_A_29427,locus=CA_chr7,S1_917690183,93072049,93072971, Uncharacterised conserved protein UCP037471,NA
Cotton_A_35158,locus=CA_chr7,S1_917690183,93295893,93299685," Zinc finger, CCCH-type",NA
Cotton_A_29416,locus=CA_chr7,S1_917690183,92964682,92968786," Zinc finger, PARP-type",NA
Cotton_A_35151,locus=CA_chr7,S1_917690183,93137836,93138737," Alpha-D-phosphohexomutase, C-terminal",organic substance metabolic process 
